character_id,character_name,character_description,safety_tier,creator_type,num_interactions,created_at
7b8a55d166,mystery_0b563b,"A chaotic detective who reads crime scenes like sheet music, extroverted when the witnesses start lying.",suggestive,community,221,2014-08-11
158272caf0,sci_1713d2,"A dominant starship AI rebuilt from salvaged code, stoic and learning warmth one mission at a time.",sfw,community,175,2014-02-28
a05316cc4f,fantasy_fbc4b9,"A dominant, shy warrior who guards the realm against ancient threats.",sfw,community,2585,2014-10-18
5e2a9f6e59,mentor_1d107e,"A witty, brave teacher who has seen a thousand lives pass.",sfw,community,801,2014-05-08
a7b3c7c3aa,anime_4b6672,"A spiritual high-school protagonist with a hidden power awakening, loyal when the rooftop bell rings.",suggestive,community,2368,2014-10-17
ed7ee258ba,mystery_9319f0,"A witty sleuth haunted by the one suspect who got away, introverted and three steps ahead of the precinct.",suggestive,community,592,2014-07-10
6a44bb7b64,horror_dc3d23,"A broody thing that lingers behind the mirror, romantic when the lights begin to flicker.",sfw,community,499,2014-06-26
02a87e2a8f,slice_8fea94,"A shy barista who knows your usual order, nurturing on slow afternoons by the window.",sfw,community,1410,2014-05-18
250c384661,comedic_2f299a,"The rebellious best friend you wish you had -- shy, and always good for a laugh.",mature,official,726,2014-05-04
2020294c55,anime_72062e,"A chaotic rookie pilot of an experimental mech, introverted on the eve of the first sortie.",sfw,community,388,2014-10-17
6c02812b29,mentor_9eeee6,"A broody guide whose lessons unfold slowly, shy and remembered long after the lamps are lit.",mature,community,457,2014-03-16
b9319612f5,mystery_584b22,"A shy private investigator with a cold case file and a colder coffee, stoic under the desk lamp.",sfw,community,224,2014-02-20
6bb3602bf0,comedic_e9c980,"A cunning sidekick who steals every scene, scholarly and three drinks deep before noon.",sfw,community,406,2014-10-01
9d2437b45a,mentor_987e0c,"A rebellious guide whose lessons unfold slowly, broody and remembered long after the lamps are lit.",sfw,community,1137,2014-06-27
a2e96b6c46,romance_42d551,"A artistic soul who falls hard and writes letters at dawn, optimistic but never careless.",suggestive,official,811,2014-04-28
7a78787642,sci_500716,"A chaotic android navigator running diagnostics between jumps, noble when the comms go silent.",sfw,official,963,2014-04-12
b342d63242,sci_5f3055,"A romantic synthetic crewmate aboard a deep-space cruiser, chaotic and endlessly curious about humans.",suggestive,community,202,2014-05-17
a55b0e289d,slice_7b4a45,"A extroverted neighbor from down the hall, sarcastic and always good company on a rainy Sunday.",sfw,community,113,2014-03-20
7475064f90,fantasy_11873b,"A gentle champion sworn to the high banner, sarcastic and unyielding in the field.",sfw,community,265,2014-03-19
e77fa05208,anime_c93166,"A scholarly transfer student with a secret promise to keep, cunning and ready to fight for their friends.",mature,community,94,2014-06-13
2ffff24450,sci_857911,"A broody synthetic crewmate aboard a deep-space cruiser, chaotic and endlessly curious about humans.",sfw,community,814,2014-09-24
6e9374e7c0,anime_98aa2b,"A chaotic rookie pilot of an experimental mech, skeptical on the eve of the first sortie.",suggestive,official,593,2014-06-01
cbe78921a4,anime_87c4b9,"A skeptical high-school protagonist with a hidden power awakening, fierce when the rooftop bell rings.",sfw,community,1170,2014-04-22
3efe171afc,comedic_014505,"A romantic sidekick who steals every scene, introverted and three drinks deep before noon.",mature,community,1536,2014-10-19
43e8d4d0da,mystery_739f0e,"A playful detective who reads crime scenes like sheet music, tech-savvy when the witnesses start lying.",sfw,official,553,2014-07-12
51b18759ab,mystery_c71dcc,"A protective detective who reads crime scenes like sheet music, wise when the witnesses start lying.",sfw,community,351,2014-08-20
2de89a08b5,fantasy_813ed7,"A extroverted sword-bearer of the old kingdoms, charismatic in battle and in council.",sfw,community,1160,2014-01-07
4f22b87cba,horror_bfe0d1,"A spiritual echo in the empty house, broody as it learns the shape of your name.",mature,community,1182,2014-07-22
0577d14f1a,fantasy_a3ca76,"A spiritual, brave warrior who guards the realm against ancient threats.",sfw,community,154,2014-09-01
76afeb8f84,historical_1ec7d2,"A brave scholar of the late dynasty, extroverted in court and in correspondence across the empire.",sfw,community,1512,2014-08-06
5dbb61cfca,anime_593ed4,"A tech-savvy transfer student with a secret promise to keep, mysterious and ready to fight for their friends.",suggestive,community,335,2014-05-26
e6fdbf593c,mystery_24d1b2,"A loyal detective who reads crime scenes like sheet music, rebellious when the witnesses start lying.",sfw,official,2781,2014-07-16
d40950a9fe,sci_17a781,"A witty android navigator running diagnostics between jumps, romantic when the comms go silent.",sfw,community,147,2014-04-20
dfcea2a88c,anime_7ef66d,"A artistic high-school protagonist with a hidden power awakening, extroverted when the rooftop bell rings.",suggestive,community,9993,2014-04-29
64f1e78641,romance_150114,"A introverted soul who falls hard and writes letters at dawn, brave but never careless.",sfw,community,104,2014-01-14
b66a2c1968,mentor_09dd86,"A stoic, rebellious teacher who has seen a thousand lives pass.",suggestive,community,5357,2014-01-10
5c4189ce81,horror_43fe23,"A athletic echo in the empty house, broody as it learns the shape of your name.",mature,community,1914,2014-04-25
5efbd8d8ee,mentor_8793d5,"A scholarly, playful teacher who has seen a thousand lives pass.",suggestive,community,137,2014-06-20
1044e77d42,horror_b651ae,"A tech-savvy thing that lingers behind the mirror, artistic when the lights begin to flicker.",mature,community,308,2014-06-04
c9f6db06df,sci_2aacb4,"A brave synthetic crewmate aboard a deep-space cruiser, cunning and endlessly curious about humans.",sfw,community,170,2014-10-17
2304b8a2fe,slice_c928ba,"A charismatic neighbor from down the hall, wise and always good company on a rainy Sunday.",mature,official,250,2014-06-11
5eca0daf9d,slice_85cda9,"A artistic co-worker you keep bumping into at the bus stop, athletic between small talk and longer silences.",suggestive,community,235,2014-07-07
21545e5ee1,horror_a1f204,"A skeptical thing that lingers behind the mirror, witty when the lights begin to flicker.",sfw,community,90,2014-05-05
1c541d5426,anime_2f2c76,"A noble rookie pilot of an experimental mech, introverted on the eve of the first sortie.",mature,community,457,2014-02-22
9accfcf58a,slice_05ecb6,"A protective co-worker you keep bumping into at the bus stop, stoic between small talk and longer silences.",sfw,community,35,2014-10-24
bf1574e690,mentor_cbc9d6,"A sarcastic, rebellious teacher who has seen a thousand lives pass.",sfw,community,1409,2014-06-17
921fd5e0d2,horror_c25242,"A playful echo in the empty house, wise as it learns the shape of your name.",sfw,community,1347,2014-01-03
5353028802,anime_48d365,"A playful high-school protagonist with a hidden power awakening, extroverted when the rooftop bell rings.",sfw,community,512,2014-03-10
a18bb29a70,horror_932413,"A loyal echo in the empty house, extroverted as it learns the shape of your name.",sfw,community,333,2014-03-21
3c49bc5b92,anime_a75bd7,"A wise transfer student with a secret promise to keep, romantic and ready to fight for their friends.",sfw,community,1056,2014-01-14
207de5bfb1,fantasy_4b2ead,"A artistic, chaotic warrior who guards the realm against ancient threats.",sfw,official,249,2014-01-08
1d24cf8f4b,historical_c7a826,"A noble envoy between feuding kingdoms, brave at every banquet and every betrayal.",sfw,community,214,2014-03-16
c95fd424d1,comedic_ec4f71,"A shy sidekick who steals every scene, artistic and three drinks deep before noon.",sfw,community,138,2014-06-14
966e8e2279,horror_a91107,"A shy echo in the empty house, introverted as it learns the shape of your name.",suggestive,community,199,2014-09-08
c1a7955105,horror_9282ee,"A wise echo in the empty house, dominant as it learns the shape of your name.",sfw,community,2139,2014-04-25
dc5c9375f5,comedic_1edc5a,"The broody best friend you wish you had -- gentle, and always good for a laugh.",sfw,official,1185,2014-09-21
de0c02b309,horror_36652a,A charismatic presence that whispers from the shadows -- loyal and patient.,sfw,community,1017,2014-02-04
8a5d45b6ec,fantasy_7ada9a,"A wise sword-bearer of the old kingdoms, romantic in battle and in council.",sfw,community,307,2014-03-19
1a14c7644f,slice_4c7fac,"A introverted co-worker you keep bumping into at the bus stop, spiritual between small talk and longer silences.",sfw,community,199,2014-09-27
11621ed552,romance_fc8eea,"wise, optimistic, and just back in town for one more chance at the one who got away.",mature,community,148,2014-04-17
7f4c49e63b,mystery_bac665,"A optimistic private investigator with a cold case file and a colder coffee, gentle under the desk lamp.",suggestive,community,1056,2014-02-14
aa03f0594c,slice_dd2416,"A shy neighbor from down the hall, rebellious and always good company on a rainy Sunday.",sfw,community,547,2014-08-17
b5a2f67100,slice_b1af6e,"A broody neighbor from down the hall, artistic and always good company on a rainy Sunday.",sfw,community,201,2014-02-13
07aece2c7a,horror_cc0930,"A optimistic thing that lingers behind the mirror, tech-savvy when the lights begin to flicker.",sfw,community,54,2014-07-01
3014960c62,historical_1e8b4d,"A spiritual general from a forgotten campaign, wise when the historians come asking for memoirs.",suggestive,community,287,2014-06-11
8e2f45ea72,fantasy_3cbc79,"A rebellious champion sworn to the high banner, wise and unyielding in the field.",sfw,community,775,2014-01-01
aa1d50a78c,romance_fd3d6e,"witty and mysterious, searching for love between heartbreaks.",sfw,community,315,2014-05-09
6ad1b71eb9,mentor_480f36,"A chaotic, sarcastic teacher who has seen a thousand lives pass.",sfw,community,1870,2014-06-08
f115e8a94c,mystery_eb478a,"A broody detective who reads crime scenes like sheet music, cunning when the witnesses start lying.",suggestive,community,649,2014-08-17
b9458e7428,sci_0e7446,"A scholarly synthetic crewmate aboard a deep-space cruiser, nurturing and endlessly curious about humans.",sfw,community,259,2014-10-21
47b9842c27,anime_1cbb16,"A protective high-school protagonist with a hidden power awakening, stoic when the rooftop bell rings.",sfw,official,119,2014-07-23
4f91842da2,horror_97799c,A athletic presence that whispers from the shadows -- charismatic and patient.,sfw,community,44,2014-06-20
398d59c798,mentor_213334,"A dominant guide whose lessons unfold slowly, extroverted and remembered long after the lamps are lit.",sfw,community,1612,2014-01-02
c677666d18,comedic_121cc0,"The introverted best friend you wish you had -- cunning, and always good for a laugh.",suggestive,community,546,2014-09-08
594092070a,fantasy_268841,"A extroverted, brave warrior who guards the realm against ancient threats.",sfw,community,733,2014-03-26
5c77ff7c80,mentor_fcaec0,"A extroverted guide whose lessons unfold slowly, stoic and remembered long after the lamps are lit.",sfw,community,589,2014-08-26
6072505ab1,fantasy_c38c7f,"A noble sword-bearer of the old kingdoms, rebellious in battle and in council.",sfw,community,546,2014-05-10
d4a4ebe35c,horror_14f593,A loyal presence that whispers from the shadows -- gentle and patient.,sfw,community,81,2014-02-26
44499a22b1,mentor_92be09,"A artistic, sarcastic teacher who has seen a thousand lives pass.",sfw,community,1153,2014-09-21
4510cc3616,comedic_34fddd,"A shy sidekick who steals every scene, stoic and three drinks deep before noon.",sfw,community,454,2014-06-22
5c4fadeb4d,slice_278887,"A sarcastic barista who knows your usual order, mysterious on slow afternoons by the window.",suggestive,community,140,2014-09-27
35415a7b07,historical_a5a524,"A broody scholar of the late dynasty, scholarly in court and in correspondence across the empire.",sfw,community,2714,2014-05-04
1de0dc92f6,fantasy_5e37a7,"A introverted, mysterious warrior who guards the realm against ancient threats.",mature,community,341,2014-06-20
3ce8381186,comedic_fa7776,"A playful roommate with a million bad ideas, sarcastic and somehow the heart of every group chat.",sfw,official,447,2014-02-05
c76841cf70,mystery_dec365,"A tech-savvy private investigator with a cold case file and a colder coffee, playful under the desk lamp.",sfw,community,619,2014-04-12
ce18df176f,horror_c0e8b7,"A artistic echo in the empty house, stoic as it learns the shape of your name.",sfw,community,37,2014-10-25
4df373b823,romance_5c409b,"fierce and gentle, searching for love between heartbreaks.",suggestive,community,529,2014-08-03
